alpha=-3,00000;gamma=0,100000;L=1;
28,2750;12,8250;4,52762;3,28396
alpha=-3,00000;gamma=0,100000;L=3;
29,0000;14,4350;0,00000;2,79209
alpha=-3,00000;gamma=0,100000;L=5;
29,0000;14,8400;0,00000;2,38210
alpha=-3,00000;gamma=0,100000;L=8;
29,0000;14,7800;0,00000;2,46203
alpha=-3,00000;gamma=1,00000;L=1;
28,1300;5,93000;4,94703;1,97107
alpha=-3,00000;gamma=1,00000;L=3;
29,0000;7,95000;0,00000;2,21980
alpha=-3,00000;gamma=1,00000;L=5;
29,0000;8,49000;0,00000;2,04448
alpha=-3,00000;gamma=1,00000;L=8;
29,0000;8,67500;0,00000;2,14228
alpha=-3,00000;gamma=10,0000;L=1;
28,4200;0,985000;4,06000;1,13788
alpha=-3,00000;gamma=10,0000;L=3;
29,0000;1,81500;0,00000;1,41095
alpha=-3,00000;gamma=10,0000;L=5;
29,0000;1,75000;0,00000;1,37386
alpha=-3,00000;gamma=10,0000;L=8;
29,0000;1,87000;0,00000;1,49101
alpha=-3,00000;gamma=100,000;L=1;
29,0000;2,77500;0,00000;1,70715
alpha=-3,00000;gamma=100,000;L=3;
29,0000;3,39000;0,00000;1,81601
alpha=-3,00000;gamma=100,000;L=5;
29,0000;3,53500;0,00000;1,99469
alpha=-3,00000;gamma=100,000;L=8;
29,0000;3,24000;0,00000;1,86344
alpha=-3,00000;gamma=1000,00;L=1;
29,0000;3,24000;0,00000;1,85267
alpha=-3,00000;gamma=1000,00;L=3;
29,0000;3,68500;0,00000;1,91984
alpha=-3,00000;gamma=1000,00;L=5;
29,0000;3,40000;0,00000;1,76635
alpha=-3,00000;gamma=1000,00;L=8;
29,0000;3,91000;0,00000;1,90838
